TABREF JENIS_KURSUS_ID,Update: 16/01/2023,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,,,,,,,
ID,NAMA,,META DATA,,,,
DFCEE247A4A19AF2E050640AF10829CF,DIKLAT FUNGSIONAL PENGENDALI EKOSISTEM HUTAN,,,,,,
8B91B70E3BEA12E5E050640A29034DA5,DIKLAT FUNGSIONAL PENGENDALI FREKUENSI RADIO,,,,,,
8B91B70E3BDB12E5E050640A29034DA5,DIKLAT FUNGSIONAL PENGENDALI HAMA DAN PENYAKIT IKAN,,,,,,
8B91B70E3B8F12E5E050640A29034DA5,DIKLAT FUNGSIONAL PENGENDALI OPT,,,,,,
8B91B70E3BD112E5E050640A29034DA5,DIKLAT FUNGSIONAL PENGGERAK SWADAYA MASYARAKAT,,,,,,
8B91B70E3BCA12E5E050640A29034DA5,DIKLAT FUNGSIONAL PENGHULU,,,,,,
8B91B70E3B6812E5E050640A29034DA5,DIKLAT FUNGSIONAL PENGUJI KENDARAAN BERMOTOR,,,,,,
8B91B70E3BD012E5E050640A29034DA5,DIKLAT FUNGSIONAL PENGUJI KESELAMATAN DAN KESEHATAN KERJA (PENGUJI K3),,,,,,
8B91B70E3B8212E5E050640A29034DA5,DIKLAT FUNGSIONAL PENGUJI MUTU BARANG,,,,,,
8B91B70E3BED12E5E050640A29034DA5,DIKLAT FUNGSIONAL PENGUJI PERANGKAT TELEKOMUNIKASI,,,,,,
8B91B70E3B7A12E5E050640A29034DA5,DIKLAT FUNGSIONAL PENILAI PAJAK,,,,,,
8B91B70E3B7812E5E050640A29034DA5,DIKLAT FUNGSIONAL PENILAI PEMERINTAH,,,,,,
8B91B70E3BA812E5E050640A29034DA5,DIKLAT FUNGSIONAL PENILIK,,,,,,
8B91B70E3B9B12E5E050640A29034DA5,DIKLAT FUNGSIONAL PENYELIDIK BUMI,,,,,,
8B91B70E3C0C12E5E050640A29034DA5,DIKLAT FUNGSIONAL PENYIDIK BNN,,,,,,
8B91B70E3BCB12E5E050640A29034DA5,DIKLAT FUNGSIONAL PENYULUH AGAMA,,,,,,
8B91B70E3B7212E5E050640A29034DA5,DIKLAT FUNGSIONAL PENYULUH HUKUM,,,,,,
8B91B70E3BD612E5E050640A29034DA5,DIKLAT FUNGSIONAL PENYULUH KEHUTANAN,,,,,,
8B91B70E3BF412E5E050640A29034DA5,DIKLAT FUNGSIONAL PENYULUH KELUARGA BERENCANA,,,,,,
8B91B70E3BBB12E5E050640A29034DA5,DIKLAT FUNGSIONAL PENYULUH KESEHATAN MASYARAKAT,,,,,,
8B91B70E3C0B12E5E050640A29034DA5,DIKLAT FUNGSIONAL PENYULUH NARKOBA,,,,,,
8B91B70E3B7912E5E050640A29034DA5,DIKLAT FUNGSIONAL PENYULUH PAJAK,,,,,,
8B91B70E3BDC12E5E050640A29034DA5,DIKLAT FUNGSIONAL PENYULUH PERIKANAN,,,,,,
8B91B70E3B8612E5E050640A29034DA5,DIKLAT FUNGSIONAL PENYULUH PERINDUSTRIAN DAN PERDAGANGAN,,,,,,
8B91B70E3B9012E5E050640A29034DA5,DIKLAT FUNGSIONAL PENYULUH PERTANIAN,,,,,,
8B91B70E3BD312E5E050640A29034DA5,DIKLAT FUNGSIONAL PENYULUH SOSIAL,,,,,,
8B91B70E3B7012E5E050640A29034DA5,DIKLAT FUNGSIONAL PERANCANG PERATURAN PERUNDANG-UNDANGAN,,,,,,
8B91B70E3BBC12E5E050640A29034DA5,DIKLAT FUNGSIONAL PERAWAT,,,,,,
8B91B70E3BBD12E5E050640A29034DA5,DIKLAT FUNGSIONAL PERAWAT GIGI,,,,,,
8B91B70E3BBE12E5E050640A29034DA5,DIKLAT FUNGSIONAL PEREKAM MEDIS,,,,,,
8B91B70E3BF512E5E050640A29034DA5,DIKLAT FUNGSIONAL PEREKAYASA,,,,,,
8B91B70E3C0612E5E050640A29034DA5,DIKLAT FUNGSIONAL PERENCANA,,,,,,
8B91B70E3C0E12E5E050640A29034DA5,DIKLAT FUNGSIONAL PERISALAH LEGISLATIF,,,,,,
8B91B70E3BD712E5E050640A29034DA5,DIKLAT FUNGSIONAL POLISI KEHUTANAN,,,,,,
8B91B70E3B7E12E5E050640A29034DA5,DIKLAT FUNGSIONAL POLISI PAMONG PRAJA (POL PP),,,,,,
8B91B70E3BE912E5E050640A29034DA5,DIKLAT FUNGSIONAL PRANATA HUBUNGAN MASYARAKAT,,,,,,
8B91B70E3B6612E5E050640A29034DA5,DIKLAT FUNGSIONAL PRANATA INFORMASI DIPLOMATIK,,,,,,
8B91B70E3C0412E5E050640A29034DA5,DIKLAT FUNGSIONAL PRANATA KOMPUTER,,,,,,
8B91B70E3B8512E5E050640A29034DA5,DIKLAT FUNGSIONAL PRANATA LABORATORIUM KEMETROLOGIAN,,,,,,
8B91B70E3BBF12E5E050640A29034DA5,DIKLAT FUNGSIONAL PRANATA LABORATORIUM KESEHATAN,,,,,,
8B91B70E3BAA12E5E050640A29034DA5,DIKLAT FUNGSIONAL PRANATA LABORATORIUM PENDIDIKAN,,,,,,
8B91B70E3C0112E5E050640A29034DA5,DIKLAT FUNGSIONAL PRANATA NUKLIR,,,,,,
8B91B70E3BE812E5E050640A29034DA5,DIKLAT FUNGSIONAL PRANATA SIARAN,,,,,,
8B91B70E3BC012E5E050640A29034DA5,DIKLAT FUNGSIONAL PSIKOLOG KLINIS,,,,,,
8B91B70E3BF812E5E050640A29034DA5,DIKLAT FUNGSIONAL PUSTAKAWAN,,,,,,
8B91B70E3BC112E5E050640A29034DA5,DIKLAT FUNGSIONAL RADIOGRAFER,,,,,,
8B91B70E3BC212E5E050640A29034DA5,DIKLAT FUNGSIONAL REFRAKSIONIS OPTISIEN,,,,,,
8B91B70E3C0A12E5E050640A29034DA5,DIKLAT FUNGSIONAL RESCUER,,,,,,
8B91B70E3BF212E5E050640A29034DA5,DIKLAT FUNGSIONAL SANDIMAN,,,,,,
8B91B70E3BC312E5E050640A29034DA5,DIKLAT FUNGSIONAL SANITARIAN,,,,,,
8B91B70E3C0512E5E050640A29034DA5,DIKLAT FUNGSIONAL STATISTISI,,,,,,
8B91B70E3BF312E5E050640A29034DA5,DIKLAT FUNGSIONAL SURVEYOR PEMETAAN,,,,,,
8B91B70E3B9D12E5E050640A29034DA5,DIKLAT FUNGSIONAL TEKNIK JALAN DAN JEMBATAN,,,,,,
8B91B70E3B9E12E5E050640A29034DA5,DIKLAT FUNGSIONAL TEKNIK PENGAIRAN,,,,,,
8B91B70E3BA012E5E050640A29034DA5,DIKLAT FUNGSIONAL TEKNIK PENYEHATAN LINGKUNGAN,,,,,,
8B91B70E3B9F12E5E050640A29034DA5,DIKLAT FUNGSIONAL TEKNIK TATA BANGUNAN DAN PERUMAHAN,,,,,,
8B91B70E3BC412E5E050640A29034DA5,DIKLAT FUNGSIONAL TEKNISI ELEKTROMEDIS,,,,,,
8B91B70E3BC512E5E050640A29034DA5,DIKLAT FUNGSIONAL TEKNISI GIGI,,,,,,
8B91B70E3BF612E5E050640A29034DA5,DIKLAT FUNGSIONAL TEKNISI PENELITIAN DAN PEREKAYASAAN,,,,,,
8B91B70E3B6912E5E050640A29034DA5,DIKLAT FUNGSIONAL TEKNISI PENERBANGAN,,,,,,
8B91B70E3BEB12E5E050640A29034DA5,DIKLAT FUNGSIONAL TEKNISI SIARAN,,,,,,
8B91B70E3BC612E5E050640A29034DA5,DIKLAT FUNGSIONAL TEKNISI TRANSFUSI DARAH,,,,,,
8B91B70E3BC712E5E050640A29034DA5,DIKLAT FUNGSIONAL TERAPIS WICARA,,,,,,
8B91B70E3BFE12E5E050640A29034DA5,DIKLAT FUNGSIONAL WIDYAISWARA,,,,,,
D834501E63B63A8CE050640AF10824F4,DIKLAT HUMAS,,,,,,
D834501E63AC3A8CE050640AF10824F4,DIKLAT INFORMATION COMMUNICATION TECHNOLOGY,,,,,,
A5EB03E2022DF6A0E040640A040252AD,DIKLAT KADER PEMBIBITAN UDANG,,,,,,
A5EB03E2022EF6A0E040640A040252AD,DIKLAT KEPEMIMPINAN SERIKAT BURUH,,,,,,
A5EB03E2022FF6A0E040640A040252AD,DIKLAT KEPENDUDUKAN,,,,,,
A5EB03E20230F6A0E040640A040252AD,DIKLAT LANJUTAN PETUGAS OPERATOR,,,,,,
A5EB03E20221F6A0E040640A040252AD,DIKLAT LLD/PKB,,,,,,
A5EB03E20222F6A0E040640A040252AD,DIKLAT MANTRI HEWAN,,,,,,
A5EB03E20223F6A0E040640A040252AD,DIKLAT MASTER OF CEREMONY (MC),,,,,,
A5EB03E20224F6A0E040640A040252AD,DIKLAT MONITORING & PELAPORAN PEMBANG.,,,,,,
