TABREF KURSUS,Update: 16/01/2023,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,,
JENIS_KURSUS_ID,CEPAT_KODE,NAMA,,META DATA,,,,
8B91B70E3B6C12E5E050640A29034DA5,2888,DIKLAT FUNGSIONAL PEMBIMBING KEMASYARAKATAN,,,,,,
8B91B70E3BBA12E5E050640A29034DA5,2966,DIKLAT FUNGSIONAL PEMBIMBING KESEHATAN KERJA,,,,,,
8B91B70E3BA112E5E050640A29034DA5,2941,DIKLAT FUNGSIONAL PEMBINA JASA KONSTRUKSI,,,,,,
8B91B70E3BE512E5E050640A29034DA5,3009,DIKLAT FUNGSIONAL PEMBINA MUTU HASIL KELAUTAN DAN PERIKANAN,,,,,,
8B91B70E3C0812E5E050640A29034DA5,3044,DIKLAT FUNGSIONAL PEMERIKSA,,,,,,
8B91B70E3B7612E5E050640A29034DA5,2898,DIKLAT FUNGSIONAL PEMERIKSA BEA DAN CUKAI,,,,,,
8B91B70E3B7112E5E050640A29034DA5,2893,DIKLAT FUNGSIONAL PEMERIKSA DESAIN INDUSTRI,,,,,,
8B91B70E3B9412E5E050640A29034DA5,2928,DIKLAT FUNGSIONAL PEMERIKSA KARANTINA TUMBUHAN,,,,,,
8B91B70E3B6D12E5E050640A29034DA5,2889,DIKLAT FUNGSIONAL PEMERIKSA KEIMIGRASIAN,,,,,,
8B91B70E3B6E12E5E050640A29034DA5,2890,DIKLAT FUNGSIONAL PEMERIKSA MEREK,,,,,,
8B91B70E3B7712E5E050640A29034DA5,2899,DIKLAT FUNGSIONAL PEMERIKSA PAJAK,,,,,,
8B91B70E3B6F12E5E050640A29034DA5,2891,DIKLAT FUNGSIONAL PEMERIKSA PATEN,,,,,,
8B91B70E3B9112E5E050640A29034DA5,2925,DIKLAT FUNGSIONAL PEMERIKSA PVT,,,,,,
8B91B70E3BC912E5E050640A29034DA5,2981,DIKLAT FUNGSIONAL PENATA ANESTESI,,,,,,
8B91B70E3B6512E5E050640A29034DA5,2881,DIKLAT FUNGSIONAL PENATA KONSELERAI,,,,,,
8B91B70E3B7C12E5E050640A29034DA5,2904,DIKLAT FUNGSIONAL PENATA LAKSANA BARANG,,,,,,
