TABREF PROFESI,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,,,,,,,
ID,NAMA,,META DATA,,,,
A5EB03E20879F6A0E040640A040252AD,A-II BAHASA & SASTRA ARAB,,,,,,
A5EB03E20872F6A0E040640A040252AD,A-II BAHASA & SASTRA BALI,,,,,,
A5EB03E2087BF6A0E040640A040252AD,A-II BAHASA & SASTRA CINA,,,,,,
A5EB03E2086FF6A0E040640A040252AD,A-II BAHASA & SASTRA JAWA,,,,,,
A5EB03E20884F6A0E040640A040252AD,A-II BAHASA ARAB,,,,,,
A5EB03E20887F6A0E040640A040252AD,A-II BAHASA ASING,,,,,,
A5EB03E20885F6A0E040640A040252AD,A-II BAHASA BALI,,,,,,
A5EB03E20886F6A0E040640A040252AD,A-II BAHASA BATAK,,,,,,
A5EB03E20888F6A0E040640A040252AD,A-II BAHASA BELANDA,,,,,,
A5EB03E20889F6A0E040640A040252AD,A-II BAHASA CINA/CINOLOGI,,,,,,
A5EB03E20878F6A0E040640A040252AD,A-II BHS & SAS. ASING,,,,,,
A5EB03E20871F6A0E040640A040252AD,A-II BHS & SAS. BATAK,,,,,,
A5EB03E2087AF6A0E040640A040252AD,A-II BHS & SAS. BELANDA,,,,,,
A5EB03E20874F6A0E040640A040252AD,A-II BHS & SAS. DAERAH,,,,,,
A5EB03E2087CF6A0E040640A040252AD,A-II BHS & SAS. INDIA,,,,,,
A5EB03E2086EF6A0E040640A040252AD,A-II BHS & SAS. INDONESIA,,,,,,
A5EB03E2087DF6A0E040640A040252AD,A-II BHS & SAS. INGGRIS,,,,,,
A5EB03E2087EF6A0E040640A040252AD,A-II BHS & SAS. JEPANG,,,,,,
A5EB03E2087FF6A0E040640A040252AD,A-II BHS & SAS. JERMAN,,,,,,
A5EB03E20880F6A0E040640A040252AD,A-II BHS & SAS. KOREA,,,,,,
A5EB03E20873F6A0E040640A040252AD,A-II BHS & SAS. MINANGKABAU,,,,,,
A5EB03E20881F6A0E040640A040252AD,A-II BHS & SAS. PERANCIS,,,,,,
A5EB03E20882F6A0E040640A040252AD,A-II BHS & SAS. RUSIA,,,,,,
A5EB03E20883F6A0E040640A040252AD,A-II BHS & SAS. SLAVIA,,,,,,
A5EB03E20870F6A0E040640A040252AD,A-II BHS & SAS. SUNDA,,,,,,
A5EB03E20876F6A0E040640A040252AD,A-II BHS SEJARAH & BUDAYA,,,,,,
A5EB03E20877F6A0E040640A040252AD,A-II BHS SEJARAH BHS BALI,,,,,,
A5EB03E2057DF6A0E040640A040252AD,A-II BIMBINGAN & PENYULUHAN,,,,,,
A5EB03E2057EF6A0E040640A040252AD,A-II BP ADM. PENDIDIKAN,,,,,,
A5EB03E2057FF6A0E040640A040252AD,A-II BP ADM.SUPERVISI PEND.,,,,,,
A5EB03E20580F6A0E040640A040252AD,A-II BP BIMB. & KONSELING,,,,,,
A5EB03E20581F6A0E040640A040252AD,A-II BP BIMB. & PENYULUH,,,,,,
A5EB03E20582F6A0E040640A040252AD,A-II BP DIDAKTIK,,,,,,
A5EB03E20583F6A0E040640A040252AD,A-II BP DIDAKTIK& KURIKULUM,,,,,,
A5EB03E2058DF6A0E040640A040252AD,A-II BP KEOLAHRAGAAN,,,,,,
A5EB03E20587F6A0E040640A040252AD,A-II BP KURIKL PERSEK/PENG.,,,,,,
A5EB03E2058AF6A0E040640A040252AD,A-II BP KURIKL. PENYULUHAN,,,,,,
A5EB03E20588F6A0E040640A040252AD,A-II BP KURIKL.& TEK.PEND.,,,,,,
A5EB03E20589F6A0E040640A040252AD,A-II BP KURIKULUM PEND.,,,,,,
A5EB03E2058BF6A0E040640A040252AD,A-II BP KURTEK PENDIDIKAN,,,,,,
A5EB03E2058CF6A0E040640A040252AD,A-II BP PENGAJ.&PENGEMB.KUR,,,,,,
A5EB03E20584F6A0E040640A040252AD,A-II BP PONDASI PENDIDIKAN,,,,,,
A5EB03E20586F6A0E040640A040252AD,A-II BP PSIK. PEND.& BIMB.,,,,,,
A5EB03E20585F6A0E040640A040252AD,A-II BP PSIKOLOGI PEND.,,,,,,
A5EB03E20578F6A0E040640A040252AD,A-II EK. PENDD.DUNIA USA,,,,,,
A5EB03E2057AF6A0E040640A040252AD,A-II EK. STUDI PEMBANGUN,,,,,,
A5EB03E2057CF6A0E040640A040252AD,A-II EK. TATA PERUSAHAAN,,,,,,
A5EB03E2056BF6A0E040640A040252AD,A-II EKONOMI,,,,,,
A5EB03E20570F6A0E040640A040252AD,A-II EKONOMI,,,,,,
A5EB03E2056CF6A0E040640A040252AD,A-II EKONOMI AKUNTANSI,,,,,,
A5EB03E2056DF6A0E040640A040252AD,A-II EKONOMI BISNIS,,,,,,
A5EB03E2056EF6A0E040640A040252AD,A-II EKONOMI BISNIS TATA,,,,,,
A5EB03E2056FF6A0E040640A040252AD,A-II EKONOMI BISNIS VOKAS,,,,,,
A5EB03E20575F6A0E040640A040252AD,A-II EKONOMI ILMU EKONOMI,,,,,,
A5EB03E20576F6A0E040640A040252AD,A-II EKONOMI KEUANGAN,,,,,,
A5EB03E20571F6A0E040640A040252AD,A-II EKONOMI KOPERASI,,,,,,
A5EB03E20572F6A0E040640A040252AD,A-II EKONOMI MANAJEMEN,,,,,,
A5EB03E20577F6A0E040640A040252AD,A-II EKONOMI MANAJEMEN,,,,,,
A5EB03E20573F6A0E040640A040252AD,A-II EKONOMI PEMBANGUNAN,,,,,,
A5EB03E20579F6A0E040640A040252AD,A-II EKONOMI PENDD.MANAJ.,,,,,,
A5EB03E20574F6A0E040640A040252AD,A-II EKONOMI PERUSAHAAN,,,,,,
A5EB03E2057BF6A0E040640A040252AD,A-II EKONOMI TATA NIAGA,,,,,,
A5EB03E20865F6A0E040640A040252AD,A-II EKSAK IL PASTI & ALAM,,,,,,
A5EB03E20866F6A0E040640A040252AD,A-II EKSAK.ILMU PENGET.ALAM,,,,,,
